chave,titulo,tipo,ano,lote,status,arquivo,fonte_consultada,texto_local,leitura_pesquisador,observacao,origem_selecao,subcategoria_tematica
matoshiEtAl2025parliamentRag,Transforming Digital Access in Parliament: Topic Modeling Meets Retrieval Augmented Generation,inproceedings,2025,2 — contexto legislativo e aplicações parlamentares,Pendente — acesso ou versão,,https://doi.org/10.1109/ICEDEG65568.2025.11081627,Não localizado em fichamentos/fontes,Não registrada,Repositório institucional indica acesso restrito; necessária cópia autorizada do artigo de 2025.,pré-projeto,aplicações parlamentares e legislativas
colomboEtAl2025legisSearch,LegisSearch: navigating legislation with graphs and large language models,article,2025,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,15-colomboEtAl2025legisSearch.tex,https://link.springer.com/content/pdf/10.1007/s10506-025-09482-6.pdf,PDF e extração,Não registrada,"Resumo, introdução, tabela 6 e discussão das limitações.",pré-projeto,aplicações parlamentares e legislativas
mosbachEtAl2025worldAvatarParliament,Parliamentary debates in The World Avatar: A hybrid retrieval-augmented generation system,report,2025,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,16-mosbachEtAl2025worldAvatarParliament.tex,https://como.ceb.cam.ac.uk/media/preprints/c4e-preprint-338.pdf,PDF e extração,Não registrada,Resumo e discussão/conclusão; consulta parcial.,pré-projeto,aplicações parlamentares e legislativas
blanco2025plenarioPalanqueEstudio,"Plen{\'a}rio, Palanque, Est{\'u}dio: Discursos no Plen{\'a}rio do Senado Federal entre 2007 e 2024",report,2025,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,17-blanco2025plenarioPalanqueEstudio.tex,https://www12.senado.leg.br/publicacoes/estudos-legislativos/tipos-de-estudos/textos-para-discussao/td355,PDF e extração,Não registrada,"Resumo, apresentação metodológica, discussão e conclusão.",pré-projeto,corpus e discurso parlamentar
blanco2026letrasGraudas,"Letras gra{\'u}das, letras mi{\'u}das: leitura e complexidade textual dos discursos em Plen{\'a}rio 2007-2024",report,2026,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,18-blanco2026letrasGraudas.tex,https://www12.senado.leg.br/publicacoes/estudos-legislativos/tipos-de-estudos/textos-para-discussao/td357,PDF e extração,Não registrada,"Resumo, procedimentos de seleção e conclusão.",pré-projeto,corpus e discurso parlamentar
zhuEtAl2025rageval,RAGEval: Scenario Specific RAG Evaluation Dataset Generation Framework,inproceedings,2025,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,06-rageval.tex,https://aclanthology.org/2025.acl-long.418/,PDF e extração,Não registrada,,pré-projeto,benchmarks e baterias de perguntas
pipitoneAlami2024legalbenchRag,LegalBench-RAG: A Benchmark for Retrieval-Augmented Generation in the Legal Domain,online,2024,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,07-legalbench.tex,https://arxiv.org/abs/2408.10343v1,PDF e extração,Não registrada,Preprint v1: divergência interna 6.858/6.889 pares; resultados não uniformes por configuração.,pré-projeto,benchmarks e baterias de perguntas
manningEtAl2008informationRetrieval,Introduction to Information Retrieval,book,2008,3 — recuperação da informação e engenharia de busca,Fichado — consulta focal/parcial,20-manningEtAl2008informationRetrieval.tex,https://nlp.stanford.edu/IR-book/pdf/irbookonlinereading.pdf,PDF e extração,Não registrada,"Capítulo 8: trechos das seções 8.1, 8.3, 8.4, 8.5 e 8.6. Livro originalmente publicado em 2008; PDF on-line identificado como 2009.",pré-projeto,recuperação clássica e métricas
thakurEtAl2021beir,{BEIR}: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,inproceedings,2021,3 — recuperação da informação e engenharia de busca,Fichado — consulta focal/parcial,21-thakurEtAl2021beir.tex,https://arxiv.org/pdf/2104.08663v1,PDF e extração,Não registrada,Resumo e apresentação do benchmark. Versão arXiv v1: 17 conjuntos e nove modelos; não confundir com versões posteriores.,pré-projeto,benchmarks de recuperação
vaswani2017attention,Attention Is All You Need,online,2017,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,31-vaswani2017attention.tex,https://arxiv.org/pdf/1706.03762v1,PDF e extração,Não registrada,Resumo e apresentação inicial da arquitetura.,pré-projeto,arquiteturas e modelos
gao2024modularRag,Modular RAG: Transforming RAG Systems into LEGO-like Reconfigurable Frameworks,online,2024,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,28-gao2024modularRag.tex,https://arxiv.org/pdf/2407.21059v1,PDF e extração,Não registrada,Resumo e introdução.,pré-projeto,surveys e revisões
nie2024textEmbeddingSurvey,When Text Embedding Meets Large Language Model: A Comprehensive Survey,online,2024,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,29-nie2024textEmbeddingSurvey.tex,https://arxiv.org/pdf/2412.09165v1,PDF e extração,Não registrada,"Resumo, taxonomia e trechos sobre desafios; consulta parcial.",pré-projeto,surveys e revisões
liuEtAl2023geval,G-Eval: NLG Evaluation using GPT-4 with Better Human Alignment,inproceedings,2023,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,08-geval.tex,https://aclanthology.org/2023.emnlp-main.153/,PDF e extração,Não registrada,,pré-projeto,métricas e avaliação automatizada
gil2022projetosPesquisa,Como elaborar projetos de pesquisa,book,2022,4 — metodologia de pesquisa e desenho do estudo,Pendente — acesso ou versão,,,Não localizado em fichamentos/fontes,Não registrada,"Livro não disponível localmente: necessária 7ª edição (2022), ou definição explícita do recorte dessa edição.",pré-projeto,metodologia científica
lakatosMarconi2021metodologia,Fundamentos de metodologia cient{\'i}fica,book,2021,4 — metodologia de pesquisa e desenho do estudo,Pendente — acesso ou versão,,,Não localizado em fichamentos/fontes,Não registrada,"Livro não disponível localmente: necessária 9ª edição (2021), ou definição explícita do recorte dessa edição.",pré-projeto,metodologia científica
creswellPlanoClark2018mixedMethods,Designing and Conducting Mixed Methods Research,book,2018,4 — metodologia de pesquisa e desenho do estudo,Pendente — acesso ou versão,,,Não localizado em fichamentos/fontes,Não registrada,"Livro não disponível localmente: necessária 3ª edição (2018), ou definição explícita do recorte dessa edição.",pré-projeto,métodos mistos
brownEtAl2020fewShotLearners,Language Models are Few-Shot Learners,inproceedings,2020,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,32-brownEtAl2020fewShotLearners.tex,https://proceedings.neurips.cc/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf,PDF e extração,Não registrada,Resumo e introdução.,pré-projeto,arquiteturas e modelos
zhaoEtAl2023llmSurvey,A Survey of Large Language Models,online,2023,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,30-zhaoEtAl2023llmSurvey.tex,https://arxiv.org/pdf/2303.18223v1,PDF e extração,Não registrada,"Resumo, introdução e trechos de alinhamento, avaliação e perspectivas.",pré-projeto,surveys e revisões
kaplanEtAl2020scalingLaws,Scaling Laws for Neural Language Models,online,2020,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,33-kaplanEtAl2020scalingLaws.tex,https://arxiv.org/pdf/2001.08361v1,PDF e extração,Não registrada,Resumo e introdução.,pré-projeto,escala e dimensionamento
hoffmannEtAl2022computeOptimal,Training Compute-Optimal Large Language Models,inproceedings,2022,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,34-hoffmannEtAl2022computeOptimal.tex,https://proceedings.neurips.cc/paper_files/paper/2022/file/c1e2faff6f588870935f114ebe04a3e5-Paper-Conference.pdf,PDF e extração,Não registrada,Resumo e introdução.,pré-projeto,escala e dimensionamento
ouyangEtAl2022instructGpt,Training Language Models to Follow Instructions with Human Feedback,inproceedings,2022,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,35-ouyangEtAl2022instructGpt.tex,https://proceedings.neurips.cc/paper_files/paper/2022/file/b1efde53be364a73914f58805a001731-Paper-Conference.pdf,PDF e extração,Não registrada,Resumo e introdução.,pré-projeto,arquiteturas e modelos
devlinEtAl2019bert,{BERT}: Pre-training of Deep Bidirectional Transformers for Language Understanding,inproceedings,2019,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,36-devlinEtAl2019bert.tex,https://aclanthology.org/N19-1423.pdf,PDF e extração,Não registrada,Resumo e introdução.,pré-projeto,arquiteturas e modelos
raffelEtAl2020t5,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,article,2020,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,37-raffelEtAl2020t5.tex,https://jmlr.org/papers/volume21/20-074/20-074.pdf,PDF e extração,Não registrada,"Resumo, introdução e seção 2.1; consulta parcial.",pré-projeto,arquiteturas e modelos
bommasaniEtAl2021foundationModels,On the Opportunities and Risks of Foundation Models,report,2021,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,42-bommasaniEtAl2021foundationModels.tex,https://arxiv.org/pdf/2108.07258v1,PDF e extração,Não registrada,"Resumo, seção 1 e abertura da seção 4.4 (avaliação); relatório não lido integralmente.",pré-projeto,modelos fundacionais e riscos sociotécnicos
benderEtAl2021stochasticParrots,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?,inproceedings,2021,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,44-benderEtAl2021stochasticParrots.tex,https://s10251.pcdn.co/pdf/2021-bender-parrots.pdf,PDF e extração,Não registrada,"Resumo, introdução, seção 7 e conclusão.",pré-projeto,modelos fundacionais e riscos sociotécnicos
jiEtAl2023hallucinationSurvey,Survey of Hallucination in Natural Language Generation,article,2023,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,41-jiEtAl2023hallucinationSurvey.tex,https://arxiv.org/pdf/2202.03629v1,PDF e extração,Não registrada,"Resumo, organização inicial e exemplos de tipologia. Bibliografia: publicação de 2023; fonte consultada: v1 de 2022.",pré-projeto,surveys e revisões
liangEtAl2023helm,Holistic Evaluation of Language Models,article,2023,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,38-liangEtAl2023helm.tex,https://arxiv.org/pdf/2211.09110v1,PDF e extração,Não registrada,Resumo e seção 11. Chave da bibliografia: 2023; versão consultada: novembro de 2022.,pré-projeto,alucinação e avaliação geral
karpukhinEtAl2020dpr,Dense Passage Retrieval for Open-Domain Question Answering,inproceedings,2020,3 — recuperação da informação e engenharia de busca,Fichado — consulta focal/parcial,22-karpukhinEtAl2020dpr.tex,https://aclanthology.org/2020.emnlp-main.550.pdf,PDF e extração,Não registrada,Resumo e apresentação da arquitetura.,pré-projeto,recuperação neural
khattabZaharia2020colbert,{ColBERT}: Efficient and Effective Passage Search via Contextualized Late Interaction over {BERT},inproceedings,2020,3 — recuperação da informação e engenharia de busca,Fichado — consulta focal/parcial,23-khattabZaharia2020colbert.tex,https://arxiv.org/pdf/2004.12832v1,PDF e extração,Não registrada,Resumo e introdução.,pré-projeto,recuperação neural
izacardGrave2021passageRetrieval,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,inproceedings,2021,3 — recuperação da informação e engenharia de busca,Fichado — consulta focal/parcial,24-izacardGrave2021passageRetrieval.tex,https://aclanthology.org/2021.eacl-main.74.pdf,PDF e extração,Não registrada,Resumo e apresentação do método.,pré-projeto,recuperação neural
mullerEtAl2025grouse,GroUSE: A Benchmark to Evaluate Evaluators in Grounded Question Answering,inproceedings,2025,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,PDF e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,meta-avaliação de avaliadores
niuEtAl2024ragtruth,RAGTruth: A Hallucination Corpus for Developing Trustworthy Retrieval-Augmented Language Models,inproceedings,2024,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,PDF e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,benchmarks de grounding e alucinação
reuterEtAl2025reliableRetrieval,Towards Reliable Retrieval in RAG Systems for Large Legal Datasets,inproceedings,2025,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,PDF e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,benchmarks de grounding e alucinação
salemiZamani2024erag,Evaluating Retrieval Quality in Retrieval-Augmented Generation,online,2024,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,Preprint e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,métricas e avaliação automatizada
sorodocEtAl2025garage,GaRAGe: A Benchmark with Grounding Annotations for RAG Evaluation,inproceedings,2025,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,PDF e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,benchmarks de grounding e alucinação
trautmannEtAl2024groundedness,Measuring the Groundedness of Legal Question-Answering Systems,inproceedings,2024,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,PDF e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,benchmarks de grounding e alucinação
yuEtAl2024ragEvaluationSurvey,Evaluation of Retrieval-Augmented Generation: A Survey,online,2024,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,Preprint e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,surveys e revisões
zhangEtAl2024fineGrainedCitation,Towards Fine-Grained Citation Evaluation in Generated Text: A Comparative Analysis of Faithfulness Metrics,inproceedings,2024,1 — avaliação de RAG e benchmarks,Incorporado — ficha 46–53,,,PDF e extração,Não registrada,Fonte ausente do references.bib do pré-projeto; incorporada após busca complementar.,busca complementar pós-pré-projeto,métricas e avaliação automatizada
