item_id,llm_passagem_1,llm_passagem_2,divergencia_passagens,houve_adjudicacao,relevancia_final,confianca_final,informacao_suficiente_final,justificativa_llm,evidencia_llm,modelo_julgador
Q06-483473,0,0,False,True,0,baixa,False,"O texto trata de um documento da Polícia Federal citado em sessão sobre TSE e providências acauteladoras, mas não menciona a ocupação da terra indígena Uru Eu Uau Uau em Rondônia nem pedido de atuação da Polícia Federal nesse contexto.","""Temos até que fazer acompanhar esse relatório... que o TSE... tornou público que havia uma recomendação da Polícia Federal.""",gpt-5.4-mini-2026-03-17
Q06-491621,1,0,True,True,0,baixa,False,"O texto trata do desaparecimento de Bruno Pereira e Dom Phillips e pede atuação das forças de segurança nas buscas, mas não menciona a ocupação da terra indígena Uru Eu Uau Uau em Rondônia nem um pedido específico de atuação da Polícia Federal nesse contexto.","""Eu quero agradecer a mobilização do Exército, da Marinha, da Polícia Federal, do Ministério Público Federal, que estão atuando nessas buscas""",gpt-5.4-mini-2026-03-17
Q06-491689,0,1,True,True,1,media,True,"O discurso trata da Amazônia, de crimes ambientais e pede apuração no Vale do Javari, mas não menciona a ocupação da terra indígena Uru Eu Uau Uau nem um pedido de atuação da Polícia Federal. Assim, há apenas relação temática geral, sem პასუხa direta ao aspecto específico perguntado.","""solicitando a constituição de uma Comissão Externa Temporária... para, in loco, se dirigir até o Vale do Javari, apreciar e apurar as causas dos assassinatos""",gpt-5.4-mini-2026-03-17
Q07-464293,1,0,True,True,1,alta,True,"O pronunciamento trata de fake news e notícias falsas, mas o trecho fornecido não menciona pandemia nem defende a importância do PL 2630/2020. Portanto, é apenas parcialmente relevante ao tema geral, sem responder ao aspecto específico pedido.","""num tempo de fake news""; ""Fake news não tem situação, não tem oposição.""",gpt-5.4-mini-2026-03-17
Q07-481180,1,2,True,True,2,alta,True,"O pronunciamento trata explicitamente do combate a fake news durante a pandemia e menciona a necessidade de esclarecimento e comunicação eficiente, o que se relaciona diretamente ao tema pedido. Embora não cite nominalmente o PL 2630/2020, o foco no combate à desinformação sobre a pandemia é o aspecto central da pergunta.","""preocupação ... com o combate ao fake news""",gpt-5.4-mini-2026-03-17
Q07-493378,0,0,False,False,0,alta,True,"O documento trata de fake news sobre urnas eletrônicas e processo eleitoral, não sobre a pandemia nem sobre o PL 2630/2020. Portanto, não responde à pergunta.","""notícias falsas sobre as urnas eletrônicas e o processo eleitoral brasileiro""",gpt-5.4-mini-2026-03-17
Q07-493928,1,0,True,True,1,media,True,"O pronunciamento discute fake news de forma geral, mas não menciona a pandemia nem defende o Projeto de Lei 2630 de 2020. Assim, trata do tema apenas de modo parcial e não responde substancialmente à pergunta.","""Quero falar hoje de fake news. Tem muita mentira no ar""",gpt-5.4-mini-2026-03-17
Q08-460304,2,2,False,False,2,alta,True,"O documento afirma explicitamente que o pronunciamento fez a defesa de projeto de lei que estabelece princípios para o uso de inteligência artificial no Brasil, correspondendo diretamente à pergunta.","""Defesa do projeto de lei, de autoria de S. Exa., que estabelece os princípios para o uso de inteligência artificial no Brasil.""",gpt-5.4-mini-2026-03-17
Q08-481510,1,2,True,True,2,alta,True,"O texto identifica explicitamente o pronunciamento que trata e defende o projeto de lei sobre inteligência artificial no Brasil, mencionando que a sessão foi destinada a discutir o PL nº 872, de 2021, apresentado pelo Senador Veneziano Vital do Rêgo, que dispõe sobre o uso da inteligência artificial no Brasil.","""Esta sessão tem por objetivo a discussão do Projeto de Lei nº 872, de 2021, apresentado pelo Senador Veneziano Vital do Rêgo, que dispõe sobre o uso da inteligência artificial no Brasil.""",gpt-5.4-mini-2026-03-17
Q08-481513,2,2,False,False,2,alta,True,"O documento trata de uma exposição em sessão de debates sobre o Projeto de Lei nº 872/2021, que dispõe sobre o uso da inteligência artificial, o que corresponde ao tema pedido sobre pronunciamento que defendeu projeto de lei sobre princípios para IA no Brasil.","""Sessão de Debates Temáticos destinada à análise do Projeto de Lei nº 872, de 2021, que dispõe sobre o uso da Inteligência Artificial.""",gpt-5.4-mini-2026-03-17
Q08-481525,2,1,True,True,2,alta,True,"O pronunciamento defende explicitamente a criação de uma futura lei de inteligência artificial com princípios fundamentais, arcabouço regulatório e política de Estado no Brasil, o que responde diretamente à pergunta sobre qual pronunciamento defendeu projeto de lei para estabelecer princípios para o uso da IA no país.","""a futura lei de inteligência artificial precisa ter princípios fundamentais""",gpt-5.4-mini-2026-03-17
Q09-453412,0,1,True,True,0,baixa,False,"O texto trata de um decreto sobre armas e faz críticas jurídicas, mas não menciona o PDL 55 de 2021 nem questão de ordem sobre retirada de pauta. Não há base suficiente para identificar o pronunciamento pedido.",Nenhuma evidência suficiente,gpt-5.4-mini-2026-03-17
Q09-454745,1,2,True,True,2,alta,True,"O pronunciamento trata diretamente da questão de ordem sobre a retirada/priorização de pauta do PDL 55 de 2021, mencionando o acordo para que o tema seja a primeira pauta da próxima terça-feira. Isso responde substancialmente ao aspecto perguntado.","""não fazemos nenhuma obstrução ou nenhuma ressalva para que seja a primeira pauta a ser debatida na próxima terça-feira.""",gpt-5.4-mini-2026-03-17
Q09-477770,1,2,True,True,0,alta,True,"O texto trata de discussão e votação de decretos legislativos para sustar decretos presidenciais sobre armas, mas não menciona questão de ordem nem retirada de pauta do PDL 55 de 2021. Portanto, não responde ao aspecto específico perguntado.","""vamos hoje discutir e votar os decretos legislativos que sustam os decretos do Presidente da República""",gpt-5.4-mini-2026-03-17
Q09-489111,2,1,True,True,1,baixa,False,"O texto trata da discussão sobre armas e da deliberação de um projeto, mas não identifica claramente que seja a resposta a uma questão de ordem sobre a retirada de pauta do PDL 55/2021. Há apenas menção genérica a ""deliberar o projeto"" e ao tema da flexibilização, sem evidência suficiente do ato específico perguntado.","""não é prioridade absoluta, no momento em que a gente vive, se deliberar sobre esse assunto""",gpt-5.4-mini-2026-03-17
Q10-481522,2,1,True,True,2,alta,True,"O pronunciamento traz uma reflexão explícita sobre proteção de dados pessoais/privacidade na atualidade, mencionando inteligência artificial, redes sociais, manipulação e a necessidade de cuidado com a privacidade.","""Essa questão de privacidade, essa questão política mesmo de indução e tudo.""",gpt-5.4-mini-2026-03-17
Q10-481523,1,2,True,True,1,alta,True,"O pronunciamento trata de inteligência artificial e menciona, de forma contextual, a governança de privacidade e proteção de dados, mas não apresenta uma reflexão específica sobre a proteção de dados pessoais na atualidade como tema central.","""tem muita convergência com a governança de privacidade e a governança de sistemas de proteção de dados""",gpt-5.4-mini-2026-03-17
Q10-488300,1,2,True,True,1,baixa,False,"O texto trata da promulgação da Emenda Constitucional nº 115/2022, que inclui a proteção de dados pessoais entre direitos fundamentais, mas não apresenta uma reflexão sobre a proteção de dados pessoais na atualidade; apenas contextualiza a sessão solene. Assim, há relação temática, porém não responde ao aspecto específico perguntado.","""destinada à promulgação da Emenda Constitucional nº 115, de 2022, que altera a Constituição Federal para incluir a proteção de dados pessoais""",gpt-5.4-mini-2026-03-17
Q10-488301,1,2,True,True,1,alta,True,"O pronunciamento trata diretamente da proteção de dados pessoais e menciona a Emenda Constitucional nº 115/2022, que a inclui entre direitos e garantias fundamentais. Porém, o trecho fornecido não mostra uma reflexão sobre a proteção de dados pessoais 'na atualidade' em sentido discursivo; apenas registra o tema da emenda.","""Emenda Constitucional n° 115, de 2022, que altera a Constituição Federal para incluir a proteção de dados pessoais""",gpt-5.4-mini-2026-03-17
